I am the life of the party.,I feel little concern for others.,I am prepared.,I get stressed out easily.,I have a rich vocabulary.,I don't talk a lot.,I am interested in people.,I leave my belongings around.,I am relaxed most of the time.,I have difficulty understanding abstract ideas.,I feel comfortable around people.,I insult people.,I pay attention to details.,I worry about things.,I have a vivid imagination.,I keep in the background.,I sympathize with others' feelings.,I make a mess of things.,I seldom feel blue.,I am not interested in abstract ideas.,I start conversations.,I am not interested in other people's problems.,I get chores done right away. ,I am easily disturbed.,I have excellent ideas.,I have little to say.,I have a soft heart.,I forget to put things back in their proper place.,I get upset easily.,I do not have a good imagination.,I talk to a lot of different people at parties.,I am not really interested in others.,I like order.,I change my mood a lot.,I am quick to understand things.,I don't like to draw attention to myself.,I take time out for others.,I shirk my duties.,I have frequent mood swings.,I use difficult words. ,I don't mind being the center of attention.,I feel others' emotions.,I follow a schedule.,I get irritated easily.,I spend time reflecting on things.,I am quiet around strangers.,I make people feel at ease. ,I am exacting in my work. ,I often feel blue.,I am full of ideas.,"In between 75 and 150 words, please describe your personality in free text."
Strongly Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Strongly Agree,I can say that I am completely extrovert. I like to socialize with people and meet new people and discuss about opportunities. I like to adjust with other people and agree about their attitudes and behaviors. I like to be in harmony with other people. I am a very honest and hardworking person. I like to do my work with complete effort and put my entire effort inn my work. At the same time I am a very emotional person. I get carried away by emotions very much fast. I am also very much open to new experiences. I am down to earth person and love simplicity.
Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Neutral,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,i am a free moving girl who dont get tensed so easily. i always respect elders for their words.i have zero attitude towards everyone
Disagree,Agree,Agree,Agree,Disagree,Neutral,Agree,Disagree,Neutral,Disagree,Agree,Strongly Disagree,Neutral,Disagree,Disagree,Neutral,Agree,Disagree,Neutral,Disagree,Agree,Agree,Disagree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Disagree,Disagree,Agree,Agree,Agree,Neutral,Disagree,Agree,Neutral,Agree,Disagree,Neutral,Agree,Agree,Agree,Neutral,Agree,Disagree,Neutral,Neutral,Disagree,"I would describe my personality as approachable, light-hearted, and positive. I am quite, focused, and determined. I am energized, focused and motivated to do my best. I always take the high road and treat my family, leaders, colleagues, and team with respect."
Strongly Disagree,Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,Disagree,Agree,Strongly Agree,Strongly Disagree,Disagree,Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Strongly Disagree,Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,I'm an overall caring person who is really concerned with others and wants the best outcomes in all situations. I can put too much effort into making sure others are doing the right thing while ignoring myself. I don't really like to talk a lot and I very often tend to stay quietly in the background ignoring what's going on around me. I try to avoid others which makes me more nervous anytime I have to interact and makes it difficult for me to socialize properly and get along with others in friendship ways.
Neutral,Disagree,Strongly Agree,Disagree,Neutral,Disagree,Agree,Disagree,Agree,Neutral,Agree,Strongly Disagree,Strongly Agree,Agree,Neutral,Neutral,Agree,Disagree,Neutral,Disagree,Agree,Neutral,Agree,Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Agree,Disagree,Strongly Agree,Neutral,Agree,Agree,Agree,Disagree,Disagree,Neutral,Agree,Agree,Strongly Agree,Neutral,Disagree,Neutral,Agree,Agree,Disagree,Agree,"I love my family and I am in love with my wife of 38 years. I like to work and make money. I also like to play, I like to fish and hunt. I like beautiful woman even though I am in love with my wife I will look at another woman especially if she is beautiful. I own my own business as I am a builder, I have been in business for 18 years, I build houses, garages and decks, my company specializes in building decks."
Neutral,Strongly Disagree,Strongly Agree,Agree,Disagree,Disagree,Strongly Agree,Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Disagree,Neutral,Strongly Disagree,Agree,Neutral,Agree,Disagree,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Disagree,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,"I am a person who loves people, babies, animals etc. I am an empath. I feel what they feel. I tend to be shy and quiet but once I am comfortable I open up. I like my own company and hate crowds. I prefer a small group of friends hanging out over a party or concert. I am responsible and always on time. I would rather have a job I love than one that pays more. My family is the best part of me"
Agree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Neutral,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Neutral,Strongly Disagree,Agree,"I am a very cooperative and compassionate person by nature who is interested in helping others.  I am a laid back person who doesn't worry about very much and use my optimism to see the bright side of things.  I am also a very active person  who loves to be on the move.  I am a social and outgoing person who enjoys being around people and trying to make them feel comfortable.  I don't love being the center of attention, but I also won't avoid it."
Neutral,Disagree,Agree,Disagree,Strongly Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Disagree,Neutral,Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Disagree,Neutral,Disagree,Strongly Agree,Disagree,Neutral,Disagree,Disagree,Disagree,Agree,Disagree,Strongly Agree,Disagree,Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Agree,Agree,Strongly Disagree,Agree,"I am a calm, but passionate person who is very family oriented.  I have a regimented life that helps me accomplish my goals.  I enjoy interacting with many different types of people and try to make myself useful.  I wouldn't consider myself extroverted, but I do like to mingle with lots of people.  I prefer my life to be structured because it makes me feel calm.  I do not typically stress very much and have a positive attitude about most things.  I consider my mood to be stable."
Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Strongly Agree,Disagree,Disagree,Agree,Agree,Disagree,Strongly Agree,Agree,Disagree,Disagree,Agree,Disagree,Neutral,Agree,Agree,Disagree,Strongly Disagree,Neutral,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Strongly Disagree,Disagree,Neutral,Agree,Agree,Strongly Disagree,Disagree,Agree,Neutral,Agree,Strongly Disagree,Neutral,"My personality is annoying. I usually do not have much to say. But, when I get comfortable with someone, I talk too much. It is hard for me to disengage at that point. Other times I am serious. I do not make others uncomfortable though. Nobody has to walk on eggshells around me. I am accommodating and put people at ease. I have a pleasant attitude and rarely get sad. It is also very hard to make me angry. "
Disagree,Strongly Disagree,Agree,Agree,Neutral,Disagree,Strongly Agree,Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Disagree,Neutral,Disagree,Strongly Agree,Disagree,Agree,Disagree,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Agree,Agree,Disagree,Strongly Disagree,Neutral,Disagree,Neutral,Strongly Agree,Disagree,Agree,Disagree,Strongly Agree,Agree,Disagree,Agree,"I am a thoughtful person who tries to make people like me.  I try to be open minded but can be a little judgy when people are snobby.  I try to be outgoing and friendly to everyone.  I love  animals, shopping and being creative.  I am stubborn which sometimes isnt the best way to be.  I do like helping others."
Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,"I'm extrememly self aware and am always following my own truth so that I don't step on anyone's toes. I don't spend a lot of time thinking about people I don't mesh with, but I am very dedicated to my family and the friends that are very close to me."
Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Neutral,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Neutral,Neutral,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Agree,Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,I am a middle class boy. I was born on 01/12/1976. I was a govt. I went to school. I have passed higher secondary from there. Then I passed computer science from Calcutta university. I am now a software developer for a WIPRO company. I have been working here for 24 long years with dedication and concentration.
Agree,Agree,Agree,Disagree,Agree,Disagree,Neutral,Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Disagree,Agree,Disagree,Neutral,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,"When it comes to me it all starts with being relaxed. I am a very relaxed person who goes with the flow of things. I am also not afraid to speak my mind even if people arent going to agree with me. I am not a people pleaser in general. I love being in control of the situation, I hate to rely on others as that means I have to wait on them to make decisions that affect my life. I am fun loving and love to have a good time and a good laugh. I am a good friend that will have you back. "
Disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Neutral,Neutral,Disagree,Disagree,"My personality is different. I can easily switch back and forth from being calm to being totally stressed out. I like people but I prefer animals. I get very anxious of the unknown. Like when I start something new or something that is out of my control. I worry a lot about what if this happens or what if that happens. 

I am very concerned for other's well being. I don't like to see people get mistreated. I don't like  to see animals get mistreated. I have a very soft heart. 

I prefer to talk to people via text then face to face. I am kind of a loner. "
Agree,Neutral,Agree,Strongly Agree,Neutral,Disagree,Agree,Neutral,Disagree,Agree,Agree,Strongly Disagree,Strongly Agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Disagree,Neutral,Disagree,Disagree,Disagree,Strongly Agree,Neutral,Agree,Neutral,Disagree,Disagree,Agree,Disagree,Agree,Neutral,Agree,Disagree,Agree,Agree,Neutral,Neutral,Disagree,Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Neutral,Strongly Agree,i have a soft heart and i feel other peoples problems and i can talk a lot of different types of peoples in different types of parties.
Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Agree,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Strongly Agree,Strongly Disagree,Neutral,Agree,Strongly Agree,Agree,Strongly Disagree,Neutral,"I have an adaptive personality. I took the Myers Briggs and I am very introverted but I would call it situational introversion. When I need to be extroverted such as working and networking with others, I will be extroverted. But I would need a couple of days to relax and be myself. "
