I am the life of the party.,I feel little concern for others.,I am prepared.,I get stressed out easily.,I have a rich vocabulary.,I don't talk a lot.,I am interested in people.,I leave my belongings around.,I am relaxed most of the time.,I have difficulty understanding abstract ideas.,I feel comfortable around people.,I insult people.,I pay attention to details.,I worry about things.,I have a vivid imagination.,I keep in the background.,I sympathize with others' feelings.,I make a mess of things.,I seldom feel blue.,I am not interested in abstract ideas.,I start conversations.,I am not interested in other people's problems.,I get chores done right away. ,I am easily disturbed.,I have excellent ideas.,I have little to say.,I have a soft heart.,I forget to put things back in their proper place.,I get upset easily.,I do not have a good imagination.,I talk to a lot of different people at parties.,I am not really interested in others.,I like order.,I change my mood a lot.,I am quick to understand things.,I don't like to draw attention to myself.,I take time out for others.,I shirk my duties.,I have frequent mood swings.,I use difficult words. ,I don't mind being the center of attention.,I feel others' emotions.,I follow a schedule.,I get irritated easily.,I spend time reflecting on things.,I am quiet around strangers.,I make people feel at ease. ,I am exacting in my work. ,I often feel blue.,I am full of ideas.,"In between 75 and 150 words, please describe your personality as it relates to the 5 personality traits outlined above. Be sure not to use the name of the personality traits themselves in your response."
Strongly Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Strongly Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,"I am very shy, but enjoy helping others and trying new things. I will help others at my own expense and devote time to them in order to gain their favor and feel liked. I only like to be extroverted and show off when I am confident in myself. I like to be in charge all the time and am easily stressed when something doesn't go as planned or my way. I'm very organized but easily frustrated when things are disheveled. I enjoy traveling and learning new things, but only when I'm confident in myself and my surroundings."
Strongly Disagree,Strongly Disagree,Strongly Agree,Neutral,Strongly Disagree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Neutral,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,"I am very honest with everything I do. I am a Christian, and I do everything unto the Lord. I do not take shortcuts that are questionable in anything, including relationships. I get along with everyone because I am able to find some type of common ground. I am kind, compassionate, and I want to help others with whatever they may need. Saying that, I also take time for myself because I am not any good to others if I am stressed or frazzled because of a busy schedule."
Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Agree,Agree,Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,Agree,"I'm a friendly person who tries to empathize with those I meet. I enjoy my friends and family very much. I like group gatherings but I also like time alone doing my own things like hiking, gardening, and woodworking, to name a few examples. I am somewhat of a perfectionist in my work attitudes. I have high standards and expect those around me to measure up. I do tend to be trusting of people unless they give me a reason not to. I don't experience a lot of mood swings. On most days I'm a happy and agreeable person. I am somewhat risk averse. I like plans, order and knowing what is expected. I'm practical and more focused on concrete things than abstractions. I do believe in God and try to make the tenets of my religious beliefs the foundation of everything I do in life."
Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Strongly Disagree,Neutral,Disagree,Disagree,Disagree,Agree,Neutral,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Neutral,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,"I consider myself a friendly person but I prefer one on one conversations and don't go out of my way to make new friends.  However in my group I tend to go along with the flow and am careful to not ruffle feathers and would prefer to put other people's feelings before my own. I love to create memories and I would much rather experience a new place opposed to purchasing new merchandise, but at time I let my need for adventure get in my way of getting things done. "
Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,I would say I am more of living by the code person.  Hard worker and remain a stoic mindset that is also passionate and like to have a good time.  Also responsibility is big and taking care of the people closest to me gives me joy as well.  I would say I perform well under pressure and strive in new areas or new challanges
Neutral,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Neutral,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Neutral,Agree,Agree,Disagree,Neutral,Neutral,Agree,Agree,Disagree,Agree,"I'm a free flowing individual that protects one's interest. Careful about what type of situations to invest oneself in. Not a quester or a obsessional compulsive who is constantly checking reality or hoards impulses. Prefer quiet surroundings where people are emotionally stable and not accusatory thinking that everybody has a hidden agenda. I find creativity allows for this free movement. One must be well learned, patience without an overly empathic outlook which could be considered busybody behavior and menacing. Not a fan of group think which could possibly lead to occupational psychosis and contribute to a greater harm as mass psychosis.  Getting between a protracted cognitive mental disorder that is contrasted against a protracted social conflict must be avoided at all cost."
Neutral,Strongly Disagree,Agree,Neutral,Neutral,Neutral,Agree,Disagree,Agree,Neutral,Agree,Disagree,Agree,Agree,Neutral,Neutral,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Neutral,Neutral,Neutral,Agree,Disagree,Disagree,Neutral,Neutral,Disagree,Agree,Disagree,Agree,Agree,Agree,Strongly Disagree,Disagree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Disagree,Agree,"I like doing activities and hang out with my family and friends.  However, I do not like going to crowded places where I don't know any people.  I like to volunteer at the the local middle school and food bank.  I am also an active member of my church.  I tend to be calm and relaxed.  I try not to let the stress of work or life get to me.   I like to try new things but I have hobby that I truly enjoy like listening to music."
Strongly Disagree,Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Disagree,Neutral,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Agree,Disagree,Agree,Strongly Agree,Neutral,Disagree,Disagree,Agree,Strongly Disagree,Neutral,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Agree,"I have a very low level of extroversion and avoid others most of the time, and I prefer working on things by myself. I am higher in agreeableness, since I prefer not to disturb others too much. I am high in conscientiousness since I work hard and tend to follow the rules and have routines. I'm probably moderate in the area of neuroticism since I have a lot of anxiety, particularly when dealing with people. I'm probably lower in openness to experience since I tend to prefer sticking to my routines and having a structured life, although I do consider myself to be relatively curious and creative."
Disagree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Disagree,Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Disagree,Agree,Disagree,Agree,"Extroversion: I am not extroverted. I tend to keep to myself and will interact when I am drawn into conversations. Otherwise, I am plenty happy to sit and observe others. 

Agreeableness: I am middle of the road. I can be selfish, but am also very aware of others' feelings and needs. It depends on my mood and which way I go. 

Conscientiousness: I am extremely conscientious. I am a very hard worker, preferring routine and order. I have a creative side and am very happy to figure out the puzzle of new processes. I like to create things and work hard to do so, particularly on time and on budget. 

Neuroticism: I am even keel and mostly unemotional. 

Openness to Experience: I am very open to new experiences. I do so within limits pending my work schedule.
"
Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Disagree,Agree,Agree,Strongly Disagree,Agree,Agree,Disagree,Agree,Disagree,Strongly Disagree,Disagree,Agree,Disagree,Agree,Strongly Agree,Agree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Agree,Agree,Strongly Agree,Disagree,Agree,Disagree,Strongly Disagree,"Being social isn't always the most important thing to me. Most of the time, I prefer to be alone and to work on things on my own. I am often polite and careful in what i say. I am often honest and prefer things to be tidy. I'm not often that emotional, but I do react strongly to stress sometimes. It usually depends on what is stressing me out. I often enjoy learning new things. I frequently daydream about things I want to happen."
Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Neutral,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,"I live a very social life. I like to organize meetings with friends and family. I really enjoy collaborating with others on projects. I am someone who can be agreeable, especially if I am persuaded by objective facts. I really do not like people who cannot be trusted. One thing all my friends would tell you about me is that I can always be trusted and counted upon. Unlike most people around me, I do not tend to feel threatened or overly moved my situations that are not obviously dire. I like to seek new experiences. I make sure I learn new things often. "
Agree,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Strongly Disagree,Neutral,Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Neutral,Neutral,Strongly Agree,Agree,Disagree,Neutral,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Neutral,Strongly Agree,Agree,Agree,Neutral,Strongly Agree,Disagree,Neutral,Neutral,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Disagree,Strongly Agree,I feel like I am an interesting person who likes to keep some privacy and stay in the background to an extent but not so much that I come off as unapproachable. I like to appear calm and in control on the surface but inside I am constantly nervous and worried. People sometimes find me a little intimidating but I easily get almost everyone who talks to me to like me because I can be very friendly and charismatic.
Disagree,Strongly Disagree,Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Disagree,Disagree,Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Strongly Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Disagree,Neutral,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,"I'm definitely a loner, so bottom of the barrel on Extroversion.
I wouldn't say I'm horribly impolite and dislike people, but I'm definitely blunt and truthful to a fault. So moderately low on Agreeableness.
I don't think I've ever consciously cheated anyone in my life, but my house could definitely stand a deep cleaning. It's hard to judge this one. The house needs cleaning because I have so many other things I need to do, and prioritize everything else, so I'm hardworking. I'm just overworked. So high on Conscientiousness.
Medium high on neuroticism. Don't even have to think about that one.
I'm simultaneously creative, curious, a life-long learner and an Olympic level daydreamer, while also preferring predictability and structure overall. So medium high on Openness to Experience."
Disagree,Strongly Disagree,Agree,Neutral,Agree,Disagree,Agree,Strongly Disagree,Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Disagree,Neutral,Neutral,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Neutral,Neutral,Disagree,Strongly Agree,Strongly Disagree,Neutral,Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Neutral,Agree,Agree,Strongly Disagree,Disagree,Agree,Disagree,Agree,Agree,Neutral,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral,"I am a multi faceted person. I like my alone time as much as I love being with people. I am a very empathetic person. I want very much to help people as much as I'm able. Because of my faith life which is the most important aspect of my personality, I'm geared towards loving and caring . I am somewhat more comfortable with a routine that doesn't flux much, yet I want to stay open to possibilities. Those are great moments for taming the rigidity I generally prefer. "
Neutral,Neutral,Agree,Disagree,Agree,Neutral,Neutral,Disagree,Neutral,Disagree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Disagree,Neutral,Neutral,Disagree,Neutral,Neutral,Agree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Neutral,Neutral,Neutral,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Disagree,Neutral,Strongly Agree,"I am not an extrovert, but I try not to be an introvert as well. I'd just rather mind my own business. I can be agreeable but I seldom have a reason to, and I certainly don't do it for the sake of it. I definitely feel conscientiousness, and I definitely don't think honest and hardworking are the same thing. I am not at all neurotic. There are things I'm sensitive about but I work hard to keep my emotions from getting in the way and most of the time that's easy for me. I'm very open to experiences."
